route_id,start,destination,cost,time,
1,1,2,1.5,5,
1,2,3,1.5,5,
1,3,4,1.5,5,
1,4,5,1.5,5,
1,5,6,1.5,5,
1,6,7,1.5,5,
2,8,9,2.0,6,
2,9,10,2.0,6,
2,10,2,2.0,6,
2,2,11,2.0,6,
2,11,12,2.0,6,
2,12,13,2.0,6,
2,13,29,2.0,6,
3,14,15,2.5,8,
3,15,16,2.5,8,
3,16,2,2.5,8,
3,2,17,2.5,8,
3,17,18,2.5,8,
3,18,19,2.5,8,
4,20,21,1.5,5,
4,21,6,1.5,5,
4,6,22,1.5,5,
4,22,23,1.5,5,
4,23,24,1.5,5,
4,24,25,1.5,5,
4,25,26,1.5,5,
5,27,28,1.75,6,
5,28,29,1.75,6,
5,29,26,1.75,6,
5,26,30,1.75,6,
5,30,31,1.75,6,
5,31,32,1.75,6,
5,32,33,1.75,6,
5,33,34,1.75,6,